,nome_infraestrutura,resumo_infraestrutura,data,tipo_de_infraestrutura,medida
381,AVE,10.9,2013-09-01,bacia,metro_cubico
382,AVE,8.9,2011-10-01,bacia,metro_cubico
383,AVE,14.9,2011-11-01,bacia,metro_cubico
384,AVE,15.3,2011-12-01,bacia,metro_cubico
385,AVE,15.7,2012-01-01,bacia,metro_cubico
386,AVE,15.5,2012-02-01,bacia,metro_cubico
387,AVE,14.8,2012-03-01,bacia,metro_cubico
388,AVE,18.9,2012-04-01,bacia,metro_cubico
389,AVE,19.0,2012-05-01,bacia,metro_cubico
390,AVE,16.3,2012-06-01,bacia,metro_cubico
391,AVE,15.9,2012-07-01,bacia,metro_cubico
392,AVE,14.0,2012-08-01,bacia,metro_cubico
393,AVE,13.7,2012-09-01,bacia,metro_cubico
394,AVE,13.5,2010-10-01,bacia,metro_cubico
395,AVE,16.8,2010-11-01,bacia,metro_cubico
396,AVE,18.5,2010-12-01,bacia,metro_cubico
397,AVE,15.7,2011-01-01,bacia,metro_cubico
398,AVE,18.7,2011-02-01,bacia,metro_cubico
399,AVE,15.6,2011-03-01,bacia,metro_cubico
400,AVE,16.4,2011-04-01,bacia,metro_cubico
401,AVE,14.5,2011-05-01,bacia,metro_cubico
402,AVE,13.3,2011-06-01,bacia,metro_cubico
403,AVE,11.9,2011-07-01,bacia,metro_cubico
404,AVE,10.3,2011-08-01,bacia,metro_cubico
405,AVE,9.0,2011-09-01,bacia,metro_cubico
406,AVE,12.5,2009-10-01,bacia,metro_cubico
407,AVE,20.2,2009-11-01,bacia,metro_cubico
408,AVE,21.1,2009-12-01,bacia,metro_cubico
409,AVE,17.7,2010-01-01,bacia,metro_cubico
410,AVE,20.8,2010-02-01,bacia,metro_cubico
411,AVE,16.8,2010-03-01,bacia,metro_cubico
412,AVE,17.5,2010-04-01,bacia,metro_cubico
413,AVE,17.8,2010-05-01,bacia,metro_cubico
414,AVE,19.7,2010-06-01,bacia,metro_cubico
415,AVE,16.2,2010-07-01,bacia,metro_cubico
416,AVE,14.6,2010-08-01,bacia,metro_cubico
417,AVE,12.8,2010-09-01,bacia,metro_cubico
418,AVE,11.1,2008-10-01,bacia,metro_cubico
419,AVE,10.8,2008-11-01,bacia,metro_cubico
420,AVE,16.0,2008-12-01,bacia,metro_cubico
421,AVE,20.1,2009-01-01,bacia,metro_cubico
422,AVE,16.8,2009-02-01,bacia,metro_cubico
423,AVE,13.2,2009-03-01,bacia,metro_cubico
424,AVE,13.9,2009-04-01,bacia,metro_cubico
425,AVE,14.8,2009-05-01,bacia,metro_cubico
426,AVE,14.7,2009-06-01,bacia,metro_cubico
427,AVE,13.6,2009-07-01,bacia,metro_cubico
428,AVE,11.7,2009-08-01,bacia,metro_cubico
429,AVE,9.8,2009-09-01,bacia,metro_cubico
430,AVE,10.2,2007-10-01,bacia,metro_cubico
431,AVE,9.2,2007-11-01,bacia,metro_cubico
432,AVE,8.9,2007-12-01,bacia,metro_cubico
433,AVE,13.9,2008-01-01,bacia,metro_cubico
434,AVE,14.1,2008-02-01,bacia,metro_cubico
435,AVE,14.5,2008-03-01,bacia,metro_cubico
436,AVE,20.1,2008-04-01,bacia,metro_cubico
437,AVE,20.0,2008-05-01,bacia,metro_cubico
438,AVE,19.7,2008-06-01,bacia,metro_cubico
439,AVE,13.6,2008-07-01,bacia,metro_cubico
440,AVE,14.0,2008-08-01,bacia,metro_cubico
441,AVE,13.4,2008-09-01,bacia,metro_cubico
442,AVE,16.6,2006-10-01,bacia,metro_cubico
443,AVE,19.9,2006-11-01,bacia,metro_cubico
444,AVE,21.0,2006-12-01,bacia,metro_cubico
445,AVE,19.0,2007-01-01,bacia,metro_cubico
446,AVE,21.1,2007-02-01,bacia,metro_cubico
447,AVE,18.8,2007-03-01,bacia,metro_cubico
448,AVE,14.1,2007-04-01,bacia,metro_cubico
449,AVE,13.3,2007-05-01,bacia,metro_cubico
450,AVE,13.9,2007-06-01,bacia,metro_cubico
451,AVE,14.0,2007-07-01,bacia,metro_cubico
452,AVE,12.6,2007-08-01,bacia,metro_cubico
453,AVE,11.3,2007-09-01,bacia,metro_cubico
454,AVE,9.6,2005-10-01,bacia,metro_cubico
455,AVE,11.6,2005-11-01,bacia,metro_cubico
456,AVE,11.5,2005-12-01,bacia,metro_cubico
457,AVE,11.5,2006-01-01,bacia,metro_cubico
458,AVE,15.0,2006-02-01,bacia,metro_cubico
459,AVE,21.1,2006-03-01,bacia,metro_cubico
460,AVE,19.0,2006-04-01,bacia,metro_cubico
461,AVE,17.3,2006-05-01,bacia,metro_cubico
462,AVE,15.6,2006-06-01,bacia,metro_cubico
463,AVE,11.0,2006-07-01,bacia,metro_cubico
464,AVE,9.6,2006-08-01,bacia,metro_cubico
465,AVE,9.0,2006-09-01,bacia,metro_cubico
466,AVE,19.7,2004-10-01,bacia,metro_cubico
467,AVE,16.8,2004-11-01,bacia,metro_cubico
468,AVE,12.5,2004-12-01,bacia,metro_cubico
469,AVE,11.8,2005-01-01,bacia,metro_cubico
470,AVE,12.0,2005-02-01,bacia,metro_cubico
471,AVE,16.2,2005-03-01,bacia,metro_cubico
472,AVE,19.9,2005-04-01,bacia,metro_cubico
473,AVE,19.5,2005-05-01,bacia,metro_cubico
474,AVE,15.9,2005-06-01,bacia,metro_cubico
475,AVE,15.0,2005-07-01,bacia,metro_cubico
476,AVE,10.2,2005-08-01,bacia,metro_cubico
477,AVE,9.1,2005-09-01,bacia,metro_cubico
478,AVE,10.0,2003-10-01,bacia,metro_cubico
479,AVE,11.5,2003-11-01,bacia,metro_cubico
480,AVE,12.8,2003-12-01,bacia,metro_cubico
481,AVE,15.4,2004-01-01,bacia,metro_cubico
482,AVE,9.8,2004-02-01,bacia,metro_cubico
